Question Number,Group,Question,Answer,Type
1,companyProfile,Legal Entity Name,asdf,TEXT
2,companyProfile,Registration Number,asdf,TEXT
3,companyProfile,Incorporation Date,asdf,DATE
4,companyProfile,Business Type,asdf,TEXT
5,companyProfile,Jurisdiction,asdf,TEXT
6,companyProfile,Registered Address,asdf,TEXT
7,companyProfile,Company Phone Number,asdf,TEXT
8,companyProfile,Previous Name,fffff,TEXT
9,governanceLeadership,Licenses,fff,TEXT
10,governanceLeadership,Good Standing,ddd,BOOLEAN
11,governanceLeadership,Corporate Registration,sss,TEXT
12,governanceLeadership,External Audit,aa,BOOLEAN
13,governanceLeadership,Control Environment,vasdf,BOOLEAN
14,governanceLeadership,Authorized Signers,asdf,TEXT
15,governanceLeadership,Government Ownership,fasdffff,BOOLEAN
16,governanceLeadership,Ultimate Beneficial Owners,fa,TEXT
17,governanceLeadership,Directors and Officers,secc,TEXT
18,governanceLeadership,Representative Email,ccasd,EMAIL
19,financialProfile,Market Capitalization,fasdfjv,TEXT
20,financialProfile,Lifetime Customer Value,ghjjjj,TEXT
21,financialProfile,Annual Recurring Revenue,gggg,MULTIPLE_CHOICE
22,financialProfile,Monthly Recurring Revenue,hhhh,TEXT
23,operationsCompliance,Legal Investigations,ffghhh,BOOLEAN
24,operationsCompliance,Financial Statements,yutuuu,TEXT
25,operationsCompliance,Operational Policies,jnfff,TEXT
26,operationsCompliance,Data Volume,fgh3f,TEXT
27,operationsCompliance,Data Types,f2fff,TEXT
28,operationsCompliance,Sanctions Check,asdf,TEXT
29,operationsCompliance,Due Diligence,fvcaaa,TEXT
30,operationsCompliance,Regulatory Orders,aaqwww,BOOLEAN
