id,question,response,field_key,timestamp
1,"What is the company's most recent Annual Recurring Revenue (ARR)?","5,000,000","annualRecurringRevenue","2025-05-06T13:53:29.002Z"
2,"When was the company incorporated?","5/12/2010","incorporationDate","2025-05-06T13:53:29.002Z"
3,"Who are the current directors and officers?","John Smith (Chairman), Jane Doe (Director), Mike Johnson (Director)","directorsAndOfficers","2025-05-06T13:53:29.002Z"
4,"List any names the company has operated under in the past five years.","None","priorNames","2025-05-06T13:53:29.002Z"
5,"In which jurisdiction is the company registered?","Delaware, United States","jurisdiction","2025-05-06T13:53:29.002Z"
6,"Has the company completed sanctions screening?","Approximately 2 million records per month","sanctionsCheck","2025-05-06T13:53:29.002Z"
7,"Estimate the volume of data the company currently manages.","Approximately 2 million records per month","dataVolume","2025-05-06T13:53:29.002Z"
8,"Which types of data does the company need access to?","Financial transaction data, Account balances, Customer KYC information","dataTypes","2025-05-06T13:53:29.002Z"
9,"Is the company currently in good standing with regulatory authorities?","Yes","goodStanding","2025-05-06T13:53:29.002Z"
10,"Does the company operate under a single control environment for all services?","Yes","controlEnvironment","2025-05-06T13:53:29.002Z"
11,"Provide corporate registration details.","Delaware State Filing Number 1234567, registered as FinTech Innovations LLC on 05/12/2010","corporateRegistration","2025-05-06T13:53:29.002Z"
12,"What is your email address?","16@e.com","contactEmail","2025-05-06T13:53:29.002Z"
13,"What is your company's entity registration number (e.g., EIN or State Entity ID)?","12-3456789","registrationNumber","2025-05-06T13:53:29.002Z"
14,"Has the company had a non-financial external audit in the last 18 months?","No","externalAudit","2025-05-06T13:53:29.002Z"
15,"Who are the ultimate beneficial owners?","None","ultimateBeneficialOwners","2025-05-06T13:53:29.002Z"
16,"What is the company's phone number?","(302) 555-1234","companyPhone","2025-05-06T13:53:29.002Z"
17,"Is the company owned or controlled by a government entity?","No","governmentOwnership","2025-05-06T13:53:29.002Z"
18,"Can you provide recent financial statements?","Yes","financialStatements","2025-05-06T13:53:29.002Z"
19,"List the names of the company's authorized signers.","John Smith (CEO), Sarah Johnson (CFO), Michael Wong (COO)","authorizedSigners","2025-05-06T13:53:29.002Z"
20,"List the company's key operational policies.","ISO 27001 certified, SOC 2 Type II compliant","operationalPolicies","2025-05-06T13:53:29.002Z"
21,"List any licenses or permits the company currently holds.","Money Transmitter License #MT-12345, Financial Data Provider License #FDP-98765","licenses","2025-05-06T13:53:29.002Z"
22,"Has the company been issued regulatory orders or been specifically cited for high-risk findings?","Yes","regulatoryActions","2025-05-06T13:53:29.002Z"
23,"What type of business entity is this?","Limited Liability Company (LLC)","businessType","2025-05-06T13:53:29.002Z"
24,"What due diligence processes has the company completed?","Yes","dueDiligence","2025-05-06T13:53:29.002Z"
25,"What is the registered business name?","DevTest16","legalEntityName","2025-05-06T13:53:29.002Z"
26,"What is the registered business address?","123 Market Street, Wilmington, DE 19801","registeredAddress","2025-05-06T13:53:29.002Z"
27,"What is the company's current market cap?","$75 million (privately held)","marketCapitalization","2025-05-06T13:53:29.002Z"
28,"What is the company's average Lifetime Customer Value (LCV)?","$1,250","lifetimeCustomerValue","2025-05-06T13:53:29.002Z"
29,"What is the company's most recent Monthly Recurring Revenue (MRR)?","12,500,000","monthlyRecurringRevenue","2025-05-06T13:53:29.002Z"
30,"Has the company or any of its affiliates faced legal or regulatory investigations in the last five years?","No significant incidents in the past 3 years","investigationsIncidents","2025-05-06T13:53:29.002Z"
31,"Task ID","754","task_id","2025-05-06T13:53:29.002Z"
32,"Company ID","271","company_id","2025-05-06T13:53:29.002Z"
33,"Form Type","kyb","form_type","2025-05-06T13:53:29.002Z"
