company_logo,company_name,stock_ticker,website_url,company_description,company_type,legal_structure,market_position,hq_address,products_services,incorporation_year,founders_and_leadership,num_employees,revenue,key_clients_partners,investors,funding_stage,exit_strategy_history,certifications_compliance
NULL,Accel,NULL,https://www.accel.com,Accel is a U.S.-based venture capital firm that specializes in early-stage investments in technology companies.,FinTech,LLC,NULL,"Palo Alto, California, USA",NULL,1983,"Jim Breyer, CEO: Jim Breyer",500,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Adyen,ADYE,https://www.adyen.com,"Adyen is a global payment company that provides a comprehensive payment platform for businesses, including payment processing, fraud detection, and customer insights.",FinTech,Corporation,Leading global payment processor,"Amsterdam, Netherlands","Adyen, Recurring Payments",2006,"Pieter van der Does, CEO: Pieter van der Does",2500,5100000000,"eBay, Uber, Spotify","Sequoia Capital, Index Ventures",IPO,IPO in 2018,"PCI DSS, ISO 27001"
NULL,Affirm,AFRM,https://www.affirm.com,Affirm provides buy-now-pay-later (BNPL) solutions to consumers and merchants.,FinTech,Corporation,Leading BNPL provider,"San Francisco, California, USA","Affirm Financing, Affirm Savings",2012,"Max Levchin, CEO: Max Levchin",1000,1000000000,"Walmart, Peloton","Kleiner Perkins, Founders Fund",IPO,"IPO in 2021, raised $1.3B in Series G","SOC 2, PCI DSS"
NULL,Ant Financial,ANT,https://www.antgroup.com,"Ant Financial, an affiliate of Alibaba Group, operates Alipay, a leading mobile and online payment platform.",FinTech,Corporation,Leading in mobile payments in China,"Hangzhou, Zhejiang, China","Alipay, Ant Fortune, MYbank",2004,"Jack Ma, CEO: Simon Hu",100000,15000000000,"Alibaba, Tencent","Alibaba Group, Silver Lake Partners",Series C,"Acquired by Alibaba in 2014, filed for IPO in 2020","ISO 27001, PCI DSS"
NULL,Benchmark Capital,NULL,https://www.benchmark.com,Benchmark Capital is a U.S.-based venture capital firm known for its investments in early-stage technology companies.,FinTech,LLC,NULL,"San Francisco, California, USA",NULL,1995,"Andy Rachleff, CEO: Andy Rachleff",500,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Bessemer Venture Partners,NULL,https://www.bvp.com,Bessemer Venture Partners is a venture capital firm that invests in early-stage technology companies across a variety of sectors.,FinTech,LLC,NULL,"Redwood City, California, USA",NULL,1911,"David Cowan, CEO: David Cowan",500,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Betterment,BETS,https://www.betterment.com,"Betterment is a robo-advisor that provides investment management services, including retirement and wealth management solutions.",FinTech,Corporation,Leading robo-advisor platform,"New York, New York, USA","Betterment Investment, Betterment for Advisors",2008,"Jon Stein, Eli Broverman, CEO: Jon Stein",500,200000000,"Google, Apple","Ribbit Capital, Menlo Ventures",Series F,"Acquired $70M in Series F, valued at $800M","SOC 2, PCI DSS"
NULL,Brex,BREX,https://www.brex.com,"Brex provides financial services for startups and businesses, including credit cards and cash management solutions.",FinTech,Corporation,Leading fintech for startups,"San Francisco, California, USA","Brex Card, Brex Cash",2017,"Henrique Dubugras, Pedro Franceschi, CEO: Henrique Dubugras",1000,2500000000,"Airbnb, DoorDash","Y Combinator, Tiger Global Management",Series D,"Raised $425M in Series D, valued at $7.4B","SOC 2, PCI DSS"
NULL,Cedar,CEDR,https://www.cedar.com,Cedar is a healthcare technology company offering a platform for streamlining medical billing and patient payment processes.,FinTech,Corporation,Leading medical billing technology provider,"New York, New York, USA","Cedar Pay, Cedar Engage",2016,"Florian Otto, CEO: Florian Otto",500,100000000,"Mount Sinai, NYU Langone","Greycroft, Insight Partners",Series C,"Raised $50M in Series C, valued at $1.4B","SOC 2, HIPAA"
NULL,Chime,CHIME,https://www.chime.com,"Chime is a U.S.-based neobank that offers no-fee checking and savings accounts, as well as mobile banking solutions.",FinTech,Corporation,Leading U.S. neobank,"San Francisco, California, USA","Chime Card, Chime Savings",2013,"Chris Britt, Ryan King, CEO: Chris Britt",1000,1000000000,"Target, Uber, Lyft","Sequoia Capital, Tiger Global Management",Series F,"Acquired $100M Series E, valued at $14.5B","SOC 2, PCI DSS"
NULL,Coinbase,COIN,https://www.coinbase.com,"Coinbase is a digital currency wallet and exchange platform for buying, selling, transferring, and storing cryptocurrency.",FinTech,Corporation,Leading cryptocurrency exchange platform,"San Francisco, California, USA","Coinbase Wallet, Coinbase Pro",2012,"Brian Armstrong, CEO: Brian Armstrong",3000,3000000000,"Walmart, Microsoft","Andreessen Horowitz, Tiger Global Management",IPO,"IPO in 2021, raised $5B in Series E","SOC 2, PCI DSS"
NULL,Credit Karma,KARMA,https://www.creditkarma.com,"Credit Karma is a personal finance company that provides credit score monitoring, loan recommendations, and other financial services.",FinTech,Corporation,Leading credit score monitoring platform,"San Francisco, California, USA","Credit Karma, Credit Score",2007,"Kenneth Lin, CEO: Kenneth Lin",1500,1500000000,"TurboTax, LendingClub","Sequoia Capital, Tiger Global Management",Series D,"Acquired by Intuit in 2020, valued at $7.1B","SOC 2, PCI DSS"
NULL,Earnin,ERN,https://www.earnin.com,"Earnin is a financial technology company offering access to earned wages without fees or interest, known as earned wage access (EWA).",FinTech,Corporation,Leading earned wage access provider,"Palo Alto, California, USA","Earnin Access, Earnin Balance",2013,"Ram Palaniappan, CEO: Ram Palaniappan",1000,500000000,"Uber, Lyft","Greylock Partners, Andreessen Horowitz",Series D,"Raised $100M in Series D, valued at $1.5B","SOC 2, PCI DSS"
NULL,Foundry Group,NULL,https://www.foundrygroup.com,"Foundry Group is a venture capital firm investing in early-stage technology companies, particularly in the U.S. Midwest.",FinTech,LLC,NULL,"Boulder, Colorado, USA",NULL,2007,"Brad Feld, CEO: Brad Feld",500,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Greylock Partners,NULL,https://www.greylock.com,"Greylock Partners is a private venture capital firm that invests in early-stage startups, particularly in technology.",FinTech,LLC,NULL,"Menlo Park, California, USA",NULL,1965,"Reid Hoffman, CEO: Reid Hoffman",500,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Gusto,GUSTO,https://www.gusto.com,"Gusto provides cloud-based payroll, benefits, and HR solutions to small businesses.",FinTech,Corporation,Leading payroll service provider,"San Francisco, California, USA","Gusto Payroll, Gusto Benefits",2011,"Josh Reeves, CEO: Josh Reeves",1000,500000000,"Smartsheet, Glossier","General Catalyst, Kleiner Perkins",Series E,"Raised $200M in Series E, valued at $3.8B","SOC 2, PCI DSS"
