Question Number,Group,Question,Answer,Type
"1","Development","Describe how your organization maintains and updates its inventory of external information systems.","","TEXTAREA"
"2","Development","Explain the process your organization follows to notify data controllers promptly upon becoming aware of a privacy data breach.","","TEXTAREA"
"3","Development","Detail your organization's formal procedures for reporting and responding to privacy-related incidents.","","TEXTAREA"
"4","Development","Describe how your organization provides publicly accessible privacy notices or policies at all points of personal data collection and processing.","","TEXTAREA"
"5","Development","Explain how your organization's privacy policies and standards are designed to protect customer privacy and comply with global and local privacy regulations (e.g., GDPR, CCPA, CPPA, GLBA).","","TEXTAREA"
"6","Development","Explain your organization's practices for retaining personal data only for the duration necessary for its intended purposes.","","TEXTAREA"
"7","Development","Describe how your organization ensures that personal data collection and processing is limited to what is strictly necessary for intended purposes.","","TEXTAREA"
"8","Development","Detail the technical measures your organization employs, such as pseudonymization or encryption, to implement data minimization principles.","","TEXTAREA"
"9","Development","Detail your organization's appointment of a Data Protection Officer (DPO), their role in compliance oversight, and the implementation of clear, informed user consent mechanisms, including withdrawal processes.","","TEXTAREA"
"10","Development","Summarize the components and key stages of your organization's written System Development Lifecycle (SDLC).","","TEXTAREA"
"11","Development","Explain how your organization verifies that developers adhere to secure coding standards through source code reviews.","","TEXTAREA"
"12","Development","Detail your organization's practices for performing automated static or dynamic source code scanning.","","TEXTAREA"
"13","Development","Describe your organization's approach to restricting developer access to production environments or securing systems during code deployment.","","TEXTAREA"
"14","Development","Explain your organization's documented requirements for backing up and restoring critical systems in cases of data loss or corruption.","","TEXTAREA"
"15","Development","Explain your organization's coverage under Cyber Liability, Network Security, and Privacy Liability Insurance policies.","","TEXTAREA"
"16","Development","Explain the procedures or technical measures your organization employs to define and document physical locations for processing and backing up customer data in cloud environments.","","TEXTAREA"
"17","Development","Outline your organization's exercise and testing program to demonstrate connectivity, capacity, and functionality at alternate recovery facilities.","","TEXTAREA"
"18","Development","Provide details on the established process your organization uses to grant logical access only to authorized individuals with legitimate business requirements.","","TEXTAREA"
"19","Development","Explain your organization's procedures and tools for promptly investigating notifications from cybersecurity detection systems.","","TEXTAREA"
"20","Development","Describe how your organization conducts comprehensive disaster recovery tests or exercises for all critical technology components, including frequency and scope.","","TEXTAREA"
"21","Development","Provide details on how and when your organization conducts vulnerability scans for applications, including APIs, especially following significant changes or updates.","","TEXTAREA"
"22","Development","Explain your organization's method for documenting and resolving issues identified during business continuity testing, including action planning and target timelines.","","TEXTAREA"
"23","Development","Describe how your organization enables cloud service consumers (CSCs) to programmatically retrieve their data via encrypted application interfaces to facilitate interoperability and portability.","","TEXTAREA"
"24","Development","Detail the process for updating recovery documentation and systems at alternate sites after changes to primary systems or business processes.","","TEXTAREA"
"25","Development","Describe the application-layer security solutions your organization employs, such as Web Application Firewalls (WAF) or proxy services.","","TEXTAREA"
"26","Development","Provide details on technical mechanisms, such as fail-safe systems, load balancing, or hot swapping, used to support resilience during typical and adverse scenarios.","","TEXTAREA"
"27","Development","Describe how your organization's resilience planning incorporates critical external dependencies and business partners, including participation in resilience exercises.","","TEXTAREA"
"28","Development","Explain your organization's procedures for regularly testing backup and replication processes, including full system recovery tests.","","TEXTAREA"
"29","Development","Describe your organization's penetration testing processes, including frequency and triggering events, for hosted internet-facing applications and APIs.","","TEXTAREA"
"30","Development","Outline your organization's incident response strategies designed to contain diverse types of cybersecurity incidents affecting your systems and information.","","TEXTAREA"
"31","Development","Summarize the key components covered in your organization's written privacy policy.","","TEXTAREA"
"32","Governance","Detail the process your organization uses to ensure employees acknowledge the acceptable use policy before gaining system access.","","TEXTAREA"
"33","Governance","Describe your organization's written governance document covering the change management program, including scope and key controls.","","TEXTAREA"
"34","Governance","Explain your organization's multifactor authentication requirements for remote network access.","","TEXTAREA"
"35","Governance","Describe your organization's documented information security or cybersecurity policies, including their scope and coverage.","","TEXTAREA"
"36","Governance","Provide details on how your organization maintains an audit trail for tracking and documenting all system and process changes.","","TEXTAREA"
"37","Governance","Explain how your cybersecurity policies and strategies explicitly address your organization's legal and regulatory compliance obligations.","","TEXTAREA"
"38","Governance","Summarize your organization's documented governance approach for managing data retention policies and procedures.","","TEXTAREA"
"39","Governance","Provide details about your organization's written acceptable use governance document covering information technology resources.","","TEXTAREA"
"40","Governance","Summarize your organization's centralized account management and authentication system, including encryption practices for credentials at rest and in transit.","","TEXTAREA"
"41","Governance","Summarize your organization's governance framework covering your data governance and classification program.","","TEXTAREA"
"42","Governance","Summarize your organization's documented governance approach for identity and access management (IAM).","","TEXTAREA"
"43","Governance","Summarize your organization's documented governance requirements for cloud service infrastructure security and virtualization.","","TEXTAREA"
"44","Governance","Summarize your organization's documented governance covering your threat and vulnerability management program.","","TEXTAREA"
"45","Governance","Summarize the key elements included in your organization's written anti-money laundering (AML) governance documentation.","","TEXTAREA"
"46","Governance","Provide details on your organization's documented anti-fraud governance measures and controls.","","TEXTAREA"
"47","Governance","Summarize your organization's documented governance covering the management and oversight of system logging and monitoring programs.","","TEXTAREA"
"48","Governance","Explain your organization's documented governance for managing and implementing encryption across systems and data.","","TEXTAREA"
"49","Governance","Explain how your organization manages authorization or independent authentication of transactions to protect against fraud, theft, and errors.","","TEXTAREA"
"50","Governance","Explain your organization's strategy for providing redundant equipment for critical business functions, including how you ensure equipment is independently located according to industry standards.","","TEXTAREA"
"51","Governance","Explain how your organization ensures that passwords are concealed or obscured during login processes for systems handling client data.","","TEXTAREA"
"52","Governance","Explain your organization's procedures for logging and reviewing privileged user activities.","","TEXTAREA"
"53","Governance","Describe your organization's use of multi-factor authentication (MFA) to restrict physical access to locations handling client data, ensuring unique identification of authorized personnel.","","TEXTAREA"
"54","Governance","Explain the type and frequency of information security or cybersecurity situational awareness training provided specifically to your organization's senior management and governing body.","","TEXTAREA"
"55","Governance","Describe the compliance-related training your organization provides, including its scope, frequency, and targeted audience.","","TEXTAREA"
"56","Governance","Provide details on the cybersecurity awareness training curriculum, including frequency and completion requirements for employees.","","TEXTAREA"
"57","Governance","Provide details about your organization's training requirements for developers (including subcontractors) regarding secure system development practices.","","TEXTAREA"
"58","Governance","Provide details about your organization's response and required actions when an account compromise is suspected.","","TEXTAREA"
"59","Governance","Describe your organization's standards and criteria for password policies applied to all systems managing client data.","","TEXTAREA"
"60","Governance","Detail the process your organization follows to verify modifications of default passwords and disable unnecessary default accounts prior to system deployment.","","TEXTAREA"
"61","Governance","Explain the procedures and tools your organization uses to monitor, detect, and control access to devices, network connections, and data transfers.","","TEXTAREA"
"62","Resilience","Detail the measures your organization implements to ensure that the crisis response team remains continuously available (24/7/365).","","TEXTAREA"
"63","Resilience","Explain how your organization ensures that contractual terms with critical subcontractors support and enforce effective business resilience.","","TEXTAREA"
"64","Resilience","Detail the measures your operational resilience program includes to support staff during disruptive events.","","TEXTAREA"
"65","Resilience","Outline how your organization's resilience program incorporates measures to manage pandemics, infectious disease impacts, natural events, and absenteeism.","","TEXTAREA"
"66","Resilience","Detail your organization's process for assessing and ensuring the alignment of your key subcontractors' Business Continuity Management (BCM) and operational resiliency programs with your standards.","","TEXTAREA"
"67","Resilience","Explain how your organization conducts and documents business continuity tests for all facilities and services that handle client data, specifying the testing frequency.","","TEXTAREA"
"68","Resilience","Summarize your organization's written resilience policies covering business continuity and disaster recovery across relevant facilities handling client data.","","TEXTAREA"
"69","Resilience","Explain how your business continuity plan outlines roles, responsibilities, and required skills for personnel involved in continuity operations.","","TEXTAREA"
"70","Resilience","Explain the scope and content of your organization's crisis management plan, covering all facilities and services handling client data.","","TEXTAREA"
"71","Resilience","Detail your organization's process for annually reviewing and approving the business continuity and recovery policy to ensure alignment with the current environment.","","TEXTAREA"
"72","Resilience","Provide details about your organization's communication plan for notifying internal and external stakeholders during business continuity events.","","TEXTAREA"
"73","Resilience","Summarize the training provided to your employees regarding their business continuity responsibilities, including the frequency and scope.","","TEXTAREA"
"74","Resilience","Describe how your organization defines roles and responsibilities for its crisis response team, including involvement from employees at the business process level.","","TEXTAREA"
"75","Resilience","Describe the process your organization follows to retrieve corporate assets from employees and subcontractors upon termination to support inventory reconciliation.","","TEXTAREA"
"76","Resilience","Describe your organization's approach to addressing cloud service portability, interoperability, and vendor lock-in risks within your resiliency program.","","TEXTAREA"
"77","Resilience","Describe your organization's approach to maintaining isolated or immutable instances of recovery data.","","TEXTAREA"
"78","Resilience","Describe your organization's approach to utilizing multiple power sources, such as generators and grid connections, considering load capacity and ongoing maintenance.","","TEXTAREA"
"79","Resilience","Describe your organization's method for registering, managing, and documenting exceptions related to information security policies.","","TEXTAREA"
"80","Resilience","Describe your organization's approach to logically segregating non-production or guest wireless network segments from production networks.","","TEXTAREA"
"81","Resilience","Explain the process your organization uses to ensure all changes pass through a standardized change control review.","","TEXTAREA"
"82","Resilience","Explain how your organization integrates cybersecurity considerations into the lifecycle of adopting emerging technologies from their inception.","","TEXTAREA"
"83","Resilience","Detail how your organization's recovery point objectives support data integrity and align with the recovery time objectives established for critical operations.","","TEXTAREA"
"84","Resilience","Describe your organization's defined objectives for resuming critical operations, including specific objectives for each critical service.","","TEXTAREA"
"85","Resilience","Describe your organization's process for tracking, reporting, and communicating suspected or confirmed fraud incidents to affected clients.","","TEXTAREA"
"86","Resilience","Clarify how your organization defines and communicates roles and responsibilities within the cybersecurity workforce, including management of subcontractor personnel.","","TEXTAREA"
"87","Resilience","Provide details regarding the types and scope of insurance coverage maintained by your organization.","","TEXTAREA"
"88","Resilience","Explain how your organization diversifies telecommunication carriers and configures network redundancy, including the criteria for circuit sizing based on complexity and risk.","","TEXTAREA"
"89","Security","Explain how your organization deploys Data Loss Prevention (DLP) measures to identify and mitigate unauthorized access, usage, or disclosure of client data.","","TEXTAREA"
"90","Security","Summarize your organization's documented governance approach for information and data loss prevention programs.","","TEXTAREA"
"91","Security","Describe how your organization logs and monitors user activity across applications, platforms, network devices, databases, and servers.","","TEXTAREA"
"92","Security","Explain your organization's approach to appropriately documenting and reporting cybersecurity incidents and related response activities.","","TEXTAREA"
"93","Security","Detail your organization's technology solutions and processes for mirroring, replicating, or synchronizing production databases with backup databases.","","TEXTAREA"
"94","Security","Describe the tools and technologies your organization employs to filter and block access to websites identified as high-risk or containing malicious content.","","TEXTAREA"
"95","Security","Detail the process your organization uses to ensure no client data remains unencrypted, whether at rest or in transit.","","TEXTAREA"
"96","Security","Describe how your organization logically or physically segregates client data from other client data.","","TEXTAREA"
"97","Security","Clarify the non-deprecated encryption methods your organization employs (e.g., TLS 1.2 or greater) for encrypting client data during external network transmission.","","TEXTAREA"
"98","Security","Describe the antivirus and antimalware measures your organization employs on servers, laptops, and workstations.","","TEXTAREA"
"99","Security","Explain your organization's methods for scanning email attachments and links to detect and mitigate malware or malicious content.","","TEXTAREA"
"100","Security","Detail your organization's subscription to or partnerships with cyber threat intelligence providers and security information-sharing agencies.","","TEXTAREA"
"101","Security","Provide details on your organization's business impact analysis, highlighting how you define objectives for the resumption of critical operations.","","TEXTAREA"
"102","Security","Describe the realistic exercise and test scenarios your organization deploys to simulate business disruptions and assess the capability to meet business and customer expectations.","","TEXTAREA"
"103","Security","Outline your organization's approach and frequency for conducting information security risk assessments.","","TEXTAREA"
"104","Security","Provide details on how your cybersecurity team deploys or updates security controls based on periodic risk assessments to manage cyber risks within your risk tolerance.","","TEXTAREA"
"105","Security","Summarize the procedures your organization follows to communicate, alert, and periodically report cyber threats and incidents to internal and external stakeholders.","","TEXTAREA"
"106","Security","Describe your organization's established centralized cryptographic key management strategy, including management and storage practices.","","TEXTAREA"
"107","Security","Describe how your organization tests its incident management plan, including the frequency and methodologies employed.","","TEXTAREA"
"108","Security","Provide details on your organization's documented incident management plan, including key components and scope.","","TEXTAREA"
"109","Security","Explain how your organization coordinates incident responses with internal teams, external stakeholders, and law enforcement when necessary.","","TEXTAREA"
"110","Security","Explain your organization's process for updating incident response plans, including the incorporation of recent cyber threat intelligence, actual incidents, or insights from information sharing.","","TEXTAREA"
"111","Security","Describe the escalation protocols and communication strategies included in your organization's incident response program.","","TEXTAREA"
"112","Security","Clarify how your incident response program defines roles, responsibilities, and decision-making authorities within your organization.","","TEXTAREA"
"113","Security","Explain your organization's process for reviewing and formally approving its Incident Response Plan over the past 12 months.","","TEXTAREA"
"114","Security","Describe your organization's process for timely containment and mitigation of cybersecurity incidents.","","TEXTAREA"
"115","Security","Describe your organization's capabilities and tools to conduct or support forensic investigations of cybersecurity incidents, including related protective and detective measures.","","TEXTAREA"
"116","Security","Detail your organization's incident notification process for informing clients about suspected or confirmed security incidents affecting data or services.","","TEXTAREA"
"117","Security","Outline your organization's approach to maintaining immediate access to recent activity and security event logs, specifying the retention period.","","TEXTAREA"
"118","Security","Detail your organization's approach to thoroughly investigating cyber events, including assessing the event's nature, scope, and impact.","","TEXTAREA"
"119","Security","Explain how your organization conducts root cause analysis to identify and proactively address recurring software vulnerabilities.","","TEXTAREA"
"120","Security","Outline your organization's approach to conducting risk assessments that evaluate the likelihood and impact of potential disruptions.","","TEXTAREA"
