Action,Old Id (id),New Id Proposal,Old Order (order),New Order Proposal,Field Key (field_key),Display Name (display_name),Old Question (question),New Question Proposal,Old Group (group),New Group Proposal,KYB Form Step,Created At (created_at),Field Type (field_type),Help Text (help_text),Required (required),Updated At (updated_at),Validation Rules (validation_rules)
NO CHANGE,1.0,1.0,1.0,1.0,legalEntityName,Legal Entity Name,What is the registered business name?,,Legal Entity Name,companyProfile,01 - Company Profile,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,2.0,2.0,2.0,2.0,registrationNumber,Registration Number,What is the corporation or business number?,"What is your company’s entity registration number (e.g., EIN or State Entity ID)?",Legal Entity Name,companyProfile,01 - Company Profile,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
NO CHANGE,3.0,3.0,3.0,3.0,incorporationDate,Incorporation Date,When was the company incorporated?,,Legal Entity Name,companyProfile,01 - Company Profile,2025-03-05T12:32:29.195Z,DATE,,True,2025-03-05T12:32:29.195Z,
EDIT,5.0,4.0,5.0,4.0,businessType,Business Type,What type of business entity is this?,,Legal Entity Name,companyProfile,01 - Company Profile,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,6.0,5.0,6.0,5.0,jurisdiction,Jurisdiction,In which jurisdiction is the company registered?,,Legal Entity Name,companyProfile,01 - Company Profile,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,4.0,6.0,4.0,6.0,registeredAddress,Registered Address,What is the registered business address?,,Legal Entity Name,companyProfile,01 - Company Profile,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
ADD,,7.0,,7.0,companyPhone,Company Phone Number,What is the company's phone number?,,Legal Entity Name,companyProfile,01 - Company Profile,,TEXT,,True,,
ADD,,8.0,,8.0,contactEmail,Representative Email,What is the email address of the person completing this form?,What is your email address?,Legal Entity Name,companyProfile,01 - Company Profile,,EMAIL,,True,,
EDIT,7.0,9.0,7.0,9.0,directorsAndOfficers,Directors and Officers,Who are the current directors and officers?,,Directors & Officers,governanceLeadership,02 - Governance & Leadership,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,8.0,10.0,8.0,10.0,ultimateBeneficialOwners,Ultimate Beneficial Owners,Who are the ultimate beneficial owners?,,Directors & Officers,governanceLeadership,02 - Governance & Leadership,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,9.0,11.0,9.0,11.0,authorizedSigners,Authorized Signers,Who are the authorized signers for the company?,List the names of the company's authorized signers.,Directors & Officers,governanceLeadership,02 - Governance & Leadership,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
ADD,,12.0,,12.0,governmentOwnership,Government Ownership,Is the company owned or controlled by a government entity?,,Corporate Registration,governanceLeadership,02 - Governance & Leadership,,BOOLEAN,,True,,
ADD,,13.0,,13.0,priorNames,Previous Name,Has the company operated under a different name in the past five years?,List any names the company has operated under in the past five years.,Corporate Registration,governanceLeadership,02 - Governance & Leadership,,TEXT,,True,,
ADD,,14.0,,14.0,externalAudit,External Audit,Has the company had a non-financial external audit in the last 18 months?,,Corporate Registration,governanceLeadership,02 - Governance & Leadership,,BOOLEAN,,True,,
ADD,,15.0,,15.0,controlEnvironment,Control Environment,Does the company operate under a single control environment for all services?,,Corporate Registration,governanceLeadership,02 - Governance & Leadership,,BOOLEAN,,True,,
EDIT,10.0,16.0,10.0,16.0,corporateRegistration,Corporate Registration,Can you provide corporate registration details?,,Corporate Registration,governanceLeadership,02 - Governance & Leadership,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,11.0,17.0,11.0,17.0,goodStanding,Good Standing,Is the company in good standing with regulatory authorities?,Is the company currently in good standing with regulatory authorities?,Corporate Registration,governanceLeadership,02 - Governance & Leadership,2025-03-05T12:32:29.195Z,BOOLEAN,,True,2025-03-05T12:32:29.195Z,
EDIT,12.0,18.0,12.0,18.0,licenses,Licenses,What licenses and permits does the company hold?,List any licenses or permits the company currently holds.,Corporate Registration,governanceLeadership,02 - Governance & Leadership,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,15.0,19.0,15.0,19.0,annualRecurringRevenue,Annual Recurring Revenue,What is the company's most recent Annual Recurring Revenue (ARR)?,,Tax Identification,financialProfile,03 - Financial Profile,2025-03-05T12:32:29.195Z,MULTIPLE_CHOICE,,True,2025-03-05T12:32:29.195Z,"{'options': ['Less than $1 million', '$1 million - $10 million', '$10 million - $50 million', 'Greater than $50 million']}"
EDIT,16.0,20.0,16.0,20.0,monthlyRecurringRevenue,Monthly Recurring Revenue,What is the company's most recent Monthly Recurring Revenue (MRR)?,,Tax Identification,financialProfile,03 - Financial Profile,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,17.0,21.0,17.0,21.0,marketCapitalization,Market Capitalization,What is the company's current market capitalization?,What is the company’s current market cap?,Tax Identification,financialProfile,03 - Financial Profile,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
EDIT,18.0,22.0,18.0,22.0,lifetimeCustomerValue,Lifetime Customer Value,What is the company's average Lifetime Customer Value (LCV)?,,Tax Identification,financialProfile,03 - Financial Profile,2025-03-05T12:32:29.195Z,TEXT,,True,2025-03-05T12:32:29.195Z,
