ID (id),Order (order),Field Key (field_key),Label (label),Question (description),Help Text (help_text),Demo Autofill Answer (demo_autofill),Group (section),Field Type (field_type),Required (is_required),Answer Expectation,Validation Type,Phasing,SOC2 Overlap,validation_rules,created_at,updated_at,step_index
1,1,policyAcknowledgement,Policy Acknowledgement,Detail the process your organization uses to ensure employees acknowledge the acceptable use policy before gaining system access.,Clarify the process of mandatory policy acknowledgment by employees.,Employees must formally acknowledge the acceptable use policy electronically before receiving access to company systems and data.,Compliance,TEXT,TRUE,"Provide an example showing acknowledgment of the acceptable use governance documents, by an employee.",Validated Assessment by Person,Day 1,CC2.1,NULL,,,0
2,2,loggingGovernance,Logging Governance,Summarize your organization's documented governance covering the management and oversight of system logging and monitoring programs.,Explain how you manage and review security event logs.,"Logging program governance documents the procedures and standards for capturing, reviewing, and retaining system logs, supporting incident investigations and compliance reporting.",Compliance,TEXT,TRUE,Provide a written governance document covering your logging program.,Validated Assessment by Person,Day 1,CC6.1,NULL,,,0
3,3,antiFraudGovernance,Anti-Fraud Governance,Provide details on your organization's documented anti-fraud governance measures and controls.,Detail your organization's documented anti-fraud measures and protocols.,"Anti-fraud governance measures include detailed policies, controls, monitoring systems, employee training, and clear reporting procedures.",Compliance,TEXT,TRUE,Provide a written anti-fraud governance document.,Automated Review via Internal Document,Day 1,"CC2.1, CC2.2",NULL,,,0
4,4,amlGovernance,AML Governance,Summarize the key elements included in your organization's written anti-money laundering (AML) governance documentation.,Briefly describe your anti-money laundering (AML) governance documentation.,"Our anti-money laundering (AML) governance is documented and enforced through clearly defined procedures, ongoing employee training, and regular compliance checks.",Compliance,TEXT,TRUE,Provide a written anti-money laundering (AML) governance document.,Automated Review via Internal Document,Day 1,CC2.1 or CC3.2,NULL,,,0
5,5,threatManagementGovernance,Threat Management Governance,Summarize your organization's documented governance covering your threat and vulnerability management program.,Summarize your process for identifying and addressing vulnerabilities.,"Threat and vulnerability management governance is documented, outlining processes for identification, assessment, prioritization, and mitigation of security threats.",Compliance,TEXT,TRUE,Provide a written governance document covering your threat and vulnerability management program.,Validated Assessment by Person,Day 1,CC7.4,NULL,,,0
6,6,cloudSecurityRequirements,Cloud Security Requirements,Summarize your organization's documented governance requirements for cloud service infrastructure security and virtualization.,Explain security measures protecting your cloud resources.,"Cloud service infrastructure security requirements and virtualization practices are documented, reviewed annually, and aligned with industry best practices.",Compliance,TEXT,TRUE,Provide a written governance document covering cloud service infrastructure and virtualization security requirements.,Validated Assessment by Person,Day 1,CC7.2,NULL,,,0
7,7,iamGovernance,IAM Governance,Summarize your organization's documented governance approach for identity and access management (IAM).,Describe procedures for changing default passwords and disabling unnecessary accounts.,"Our identity and access management (IAM) governance document clearly defines user access provisioning, management, and de-provisioning procedures.",Compliance,TEXT,TRUE,Provide a written governance document covering your identity and access management program.,Validated Assessment by Person,Day 1,"CC7.2, CC7.3",NULL,,,0
8,8,encryptionGovernance,Encryption Governance,Explain your organization's documented governance for managing and implementing encryption across systems and data.,Outline your data encryption methods for storage and transmission.,"Our encryption program governance specifies encryption standards, protocols, and procedures for managing cryptographic implementations across our environment.",Compliance,TEXT,TRUE,Provide a written governance document covering your encryption program.,Validated Assessment by Person,Day 1,"CC7.1, CC7.2",NULL,,,0
9,9,changeManagement,Change Management,"Describe your organization's written governance document covering the change management program, including scope and key controls.",Summarize your practices for secure management of IT changes.,"Our change management program includes documented policies, formal review processes, and clearly defined change authorization responsibilities.",Compliance,TEXT,TRUE,Provide a written governance document covering Change Management. Describe how the organization defines significant change.,Validated Assessment by Person,Day 1,No Direct SOC 2,NULL,,,0
10,10,dataClassificationGovernance,Data Classification Governance,Summarize your organization's governance framework covering your data governance and classification program.,Summarize your data classification program governance structure.,"Data governance and classification policies define data sensitivity levels, handling requirements, and access control measures across all organizational assets.",Compliance,TEXT,TRUE,Provide a written governance document covering your data governance and classification program.,Validated Assessment by Person,Day 1,CC6.7,NULL,,,0
