Question Number,Wizard Section Label,Question Label,Question,Example Response,AI Search Instructions,Partial Risk Score Max
1,Security,Access Control,How does your company prevent unauthorized access to its systems?,"We enforce role-based access control (RBAC), use multi-factor authentication (MFA), and restrict network access via firewalls.","Look for 'Access Controls,' 'Logical Security,' or 'User Authentication.' Identify mentions of RBAC, MFA, access management policies, and firewall rules.",27
2,Security,Incident Response,What steps does your company take to detect and respond to security incidents?,"We have a Security Operations Center (SOC) that monitors logs 24/7, automated alerts for suspicious activity, and a formal incident response plan.","Search for 'Incident Management,' 'Security Monitoring,' or 'SOC Procedures.' Look for security logs, automated alerts, SIEM tools, or response timelines.",31
3,Security,Access Reviews,How often does your company review and update employee access to sensitive systems?,"Access is reviewed quarterly, and inactive accounts are automatically disabled after 30 days.","Scan for 'Access Review,' 'User Access Controls,' or 'Privileged Access Management.' Identify review schedules, deactivation policies, or auditing processes.",18
4,Security,Data Encryption,What encryption methods does your company use to protect sensitive data?,We use AES-256 encryption for stored data and TLS 1.3 for all data transmissions.,"Look under 'Data Protection,' 'Encryption Standards,' or 'Cryptography.' Identify mentions of AES, TLS, full-disk encryption, or encryption key management.",24
5,Security,Vendor Security,"Does your company assess and monitor third-party vendors to ensure they meet security standards? If so, how?",We require all vendors to provide a SOC 2 report and conduct annual security audits.,"Search for 'Third-Party Risk Management,' 'Vendor Assessment,' or 'Subservice Organizations.' Look for vendor security audits, contractual obligations, or compliance reviews.",12
6,Security,Change Management,What is the process for making changes to your software or infrastructure to ensure security?,"All changes go through a formal approval process, are reviewed for security risks, and have rollback plans.","Scan for 'Change Management,' 'System Updates,' or 'Configuration Management.' Look for testing procedures, risk assessments, and approval workflows.",15
7,Security,Security Training,How does your company ensure employees are trained in security best practices?,We require annual security awareness training and conduct phishing simulations.,"Look for 'Security Awareness Training,' 'Employee Education,' or 'Security Policies.' Identify mentions of annual training, phishing tests, or required certifications.",10
8,Security,Data Retention,"What policies exist for storing, retaining, and securely deleting customer data?","We retain customer data for 5 years, after which it's securely erased using industry-standard data destruction methods.","Search under 'Data Retention,' 'Data Lifecycle,' or 'Data Disposal Policies.' Look for retention timelines, deletion processes, and secure data destruction methods.",7
9,Security,Vulnerability Testing,"How often does your company test for vulnerabilities, and what happens if a security issue is found?",We run monthly vulnerability scans and apply critical patches within 48 hours.,"Scan for 'Vulnerability Management,' 'Penetration Testing,' or 'Patch Management.' Look for frequency of scans, remediation timelines, and severity classifications.",21
10,Security,Disaster Recovery,Does your company have a disaster recovery and business continuity plan? When was the last time it was tested?,"Yes, we conduct disaster recovery tests every 6 months by simulating outages.","Search under 'Business Continuity Plan (BCP),' 'Disaster Recovery (DR),' or 'System Resilience.' Identify testing frequency, recovery objectives (RTO/RPO), and failover procedures.",15
11,Governance,Information Security Policies,Does your company have a formally documented and regularly updated Information Security Policy (ISP)?,"Yes, we maintain an Information Security Policy that is reviewed annually and aligned with ISO 27001 requirements.","Look for 'Information Security Policy,' 'ISMS Documentation,' or 'Security Governance.' Identify mentions of policy approval dates, review schedules, and employee compliance requirements.",24
12,Governance,Risk Assessment & Treatment,"How does your company identify, assess, and mitigate information security risks?",We conduct risk assessments quarterly and maintain a risk register that documents mitigation plans.,"Search for 'Risk Assessment,' 'Risk Treatment Plan,' or 'Risk Register.' Look for documentation of risk evaluation methods, mitigation controls, and periodic reviews.",30
13,Governance,Asset Management,"Does your company maintain an inventory of all information assets, including classification and ownership?","Yes, all IT assets, databases, and cloud environments are tracked in our asset management system.","Scan for 'Asset Inventory,' 'Asset Classification,' or 'Information Asset Register.' Look for records of asset tracking, ownership assignments, and classification levels.",18
14,Governance,Access Control Policy,How does your company define and enforce access controls to sensitive data and systems?,We enforce least privilege access control and review permissions every six months.,"Look under 'Access Control Policy,' 'User Privileges,' or 'Identity & Access Management.' Identify mentions of MFA, role-based access controls (RBAC), and permission audits.",21
15,Governance,Incident Management,"What procedures are in place for detecting, reporting, and responding to security incidents?",We maintain an incident response plan and conduct annual tabletop exercises.,"Search for 'Incident Response Plan,' 'Security Incident Management,' or 'Incident Logs.' Look for evidence of detection tools, response workflows, and reporting mechanisms.",27
16,Governance,Business Continuity & Disaster Recovery,Does your company have a Business Continuity Plan (BCP) and Disaster Recovery (DR) strategy?,"Yes, we have a documented BCP that is tested annually through simulated outages.","Look for 'Business Continuity Plan,' 'Disaster Recovery Plan,' or 'BCP/DR Testing.' Identify testing schedules, recovery objectives, and crisis response procedures.",3
17,Governance,Supplier & Vendor Risk Management,How does your company evaluate and manage security risks associated with third-party vendors?,We conduct vendor risk assessments before onboarding and require annual security audits.,"Scan for 'Third-Party Risk Management,' 'Vendor Security Policy,' or 'Supplier Risk Assessment.' Look for audit requirements, compliance obligations, and contractual risk clauses.",15
18,Governance,Cryptographic Controls,What cryptographic measures does your company use to protect sensitive data?,We encrypt all sensitive data using AES-256 and enforce TLS 1.3 for data transmission.,"Look for 'Cryptographic Controls,' 'Encryption Policy,' or 'Data Security Measures.' Identify encryption standards (AES, TLS), key management practices, and data protection mechanisms.",6
19,Governance,Security Awareness & Training,How does your company ensure employees are regularly trained on security policies and best practices?,We require all employees to complete security awareness training annually.,"Scan for 'Security Training Policy,' 'Employee Security Awareness,' or 'Cybersecurity Education.' Look for training schedules, phishing test results, and employee compliance tracking.",12
