id,order,field_key,display_name,question,new_demo_autofill
1,1,externalSystems,External Systems,Describe how your organization maintains and updates its inventory of external information systems.,"The external systems inventory is maintained in the Central Asset Registry CAR and updated through automated discovery integrations with our cloud providers and internal asset management tooling. All external systems are tagged with ownership, classification, purpose, and service provider details, and changes are logged through our Configuration Management Database CMDB integration.

Monthly reconciliation is performed by the IT Asset Governance team, and exceptions are reviewed as part of our quarterly internal control audit. The process is governed by the External System Inventory Policy ESIP v2.3 and was most recently tested in our SOC 2 Type II audit with no exceptions noted."
2,2,breachNotification,Breach Notification,Explain the process your organization follows to notify data controllers promptly upon becoming aware of a privacy data breach.,"Privacy breach notification is governed by the Breach Response Protocol BRP v3.1. Upon detection of a privacy-related incident, our Incident Response Lead classifies the event and initiates the Data Breach Notification Workflow within our GRC platform. If the incident meets the reporting threshold, the Data Protection Officer coordinates legal, compliance, and communications leads to draft and issue controller notifications within 24 hours of breach confirmation.

Notifications include incident type, affected data categories, impact assessment, containment status, and assigned points of contact. All breach events are logged in the Privacy Incident Register and reviewed quarterly by the Risk and Privacy Steering Committee. The current notification process was independently validated during a GDPR readiness assessment in early 2025 and is tested twice annually through simulation exercises."
3,3,privacyIncidentProcedure,Privacy Incident Procedure,Detail your organization's formal procedures for reporting and responding to privacy-related incidents.,"Privacy-related incidents are handled under the procedures outlined in the Incident Response Playbook IRP-Privacy v4.2, which defines classification tiers, triage timelines, notification workflows, and root cause documentation requirements. All suspected incidents are logged through the SecureEvents portal and automatically routed to our Privacy Response Group, which includes Legal, Security, and the Data Governance team.

Each case is assigned a severity rating using the Privacy Incident Impact Scale PIIS and tracked in the Privacy Case Management System PCMS. Weekly review meetings are held to review open incidents, ensure SLA compliance, and validate containment and remediation plans. The full process is tested through live exercises twice a year and is reviewed annually by our internal audit team for completeness and operational effectiveness."
4,4,publicPrivacyNotice,Public Privacy Notice,Describe how your organization provides publicly accessible privacy notices or policies at all points of personal data collection and processing.,"Our privacy policy is accessible via the Privacy Center on our website and is embedded contextually within user flows, including sign-up, consent forms, product onboarding, and support interactions. The policy outlines data collection, use, rights, sharing, and retention practices, and includes dynamic jurisdictional language for GDPR, CPRA, and LGPD compliance.

Policy management is governed by the Public Disclosure and Transparency Policy PDTP v1.9 and maintained in collaboration between Legal, Privacy Engineering, and UX. Updates are version-controlled and published with a changelog and notification banner upon rollout. The privacy policy content and delivery experience were reviewed in our 2024 accessibility audit and received positive marks during our most recent client data protection assessment."
5,5,privacyLawCompliance,Privacy Law Compliance,"Explain how your organization's privacy policies and standards are designed to protect customer privacy and comply with global and local privacy regulations (e.g., GDPR, CCPA, CPPA, GLBA).","Privacy governance is defined under our Global Privacy Compliance Framework GPCF v3.4, which maps regulatory obligations across jurisdictions including GDPR, CPRA, GLBA, and PIPEDA. Our framework establishes control families for data minimization, consent management, breach notification, and subject rights processing, each with mapped control owners and performance metrics.

All business units complete annual privacy control attestations, and new or significantly changed products must undergo a Privacy Impact Assessment PIA before launch. Policy updates are coordinated through the Legal and Risk teams and published in our internal compliance portal with release notes. In Q1 2025, our framework was independently benchmarked by a third-party consultancy and found to exceed baseline readiness across all major regulatory domains."
6,6,dataRetentionLimits,Data Retention Limits,Explain your organization's practices for retaining personal data only for the duration necessary for its intended purposes.,"Data retention is governed by the Data Lifecycle and Retention Policy DLRP v2.6, which defines maximum retention periods for each category of personal data based on business purpose, regulatory requirement, and classification tier. All retention rules are implemented through data lifecycle automation across production systems, with deletion or anonymization triggered at end-of-life events.

Biannual audits are conducted on randomly selected datasets to verify adherence to the policy, and exceptions such as litigation holds are tracked in the Legal Hold Registry. The DLRP was most recently reviewed in February 2025 and validated through our SOC 2 Type II audit with no control exceptions."
7,7,personalDataMinimization,Personal Data Minimization,Describe how your organization ensures that personal data collection and processing is limited to what is strictly necessary for intended purposes.,"Data minimization is enforced through our Privacy by Design Standard PbDS v1.3, which mandates that all new data collection activities undergo a Data Use Justification Review during intake. This review, coordinated by Legal and Privacy Engineering, evaluates purpose limitation, scope of data fields, and whether less invasive alternatives exist.

Only data fields deemed essential for business or legal purposes are approved for collection, and each is mapped to a declared processing purpose within our Data Inventory Management System. Privacy assurance tests are conducted quarterly, and findings are shared during the cross-functional Data Governance Council to ensure accountability and continuous refinement."
8,8,dataMinimizationTechniques,Data Minimization Techniques,"Detail the technical measures your organization employs, such as pseudonymization or encryption, to implement data minimization principles.","Technical data minimization is achieved through layered controls including pseudonymization of user identifiers in analytics platforms, field-level encryption for sensitive attributes, and environment-specific masking during test data generation. All systems that store or process personal data are subject to schema validation rules that enforce field-level restrictions aligned with business use cases.

Pseudonymization routines are documented in the Data Protection Configuration Manual DPCM v2.0, and outputs are subject to quarterly re-identification risk assessments. Our encryption protocols align with NIST SP 800-57, with all transmission secured via TLS 1.3 and storage protected using AES-256. These controls were successfully validated in our Q4 2024 internal privacy engineering audit."
9,9,dpoAppointment,DPO Appointment,"Detail your organization's appointment of a Data Protection Officer (DPO), their role in compliance oversight, and the implementation of clear, informed user consent mechanisms, including withdrawal processes.","A dedicated Data Protection Officer DPO has been appointed in accordance with GDPR Article 37 and reports directly to the board-level Risk Oversight Committee. The DPO leads regulatory risk analysis, advises on data protection impact assessments DPIAs, and serves as the escalation point for all data subject rights inquiries and breach-related notifications.

Consent is managed via our centralized Consent Preference Center, which allows users to provide, modify, or withdraw consent at any time through their account portal. All consent actions are recorded with timestamped audit logs and tied to processing activities through the Consent Registry System CRS. The DPO function was externally evaluated as part of our GDPR compliance readiness review in early 2025 and received no material findings."
10,10,developmentLifecycle,Development Lifecycle,Summarize the components and key stages of your organization's written System Development Lifecycle (SDLC).,"Our System Development Lifecycle SDLC is governed by the Secure Engineering Policy SEP v5.0 and includes clearly defined stages: planning, design, secure coding, testing, deployment, and post-release monitoring. Security is embedded at every phase, beginning with threat modeling during design and continuing through static and dynamic code analysis enforced in our CI/CD pipeline.

All application changes are tracked in our change management system and require peer review and security approval before deployment to production. The SDLC incorporates rollback planning, audit log generation, and remediation workflows for failed builds or security scans. This process is reviewed semi-annually by the Engineering Governance Team and was validated during our most recent ISO 27001 surveillance audit."
