Group,Question,Answer,Type,Answered At
,,hello,text,2025-02-22T18:30:18.487Z
,,a,text,2025-02-22T18:30:18.487Z
,,1,date,2025-02-22T18:30:18.487Z
,,asdff,text,2025-02-22T18:30:18.487Z
,,Private Company,text,2025-02-22T18:30:18.487Z
,,you know,text,2025-02-22T18:30:18.487Z
,,a,text,2025-02-22T18:30:18.487Z
,,a,text,2025-02-22T18:30:18.487Z
,,{"Samantha Seaton (CEO)"},text,2025-02-22T18:30:18.487Z
,,affffa,text,2025-02-22T18:30:18.487Z
,,{"Samantha Seaton (CEO)"},text,2025-02-22T18:30:18.487Z
,,,boolean,2025-02-22T18:30:18.487Z
,,fffff,text,2025-02-22T18:30:18.487Z
,,a,text,2025-02-22T18:30:18.487Z
,,a,text,2025-02-22T18:30:18.487Z
,,a,text,2025-02-22T18:30:18.487Z
,,a,text,2025-02-22T18:30:18.487Z
