KYB Form Export (Generated: 2025-04-16T08:53:07.454Z)

Section,Field ID,Question,Response
"companyProfile","legalEntityName","What is the registered business name?","asdfasdf"
"companyProfile","registrationNumber","What is your company's entity registration number (e.g., EIN or State Entity ID)?","bcdefghijk"
"companyProfile","incorporationDate","When was the company incorporated?","ab"
"companyProfile","businessType","What type of business entity is this?","ff"
"companyProfile","jurisdiction","In which jurisdiction is the company registered?","asd"
"companyProfile","registeredAddress","What is the registered business address?","dd"
"companyProfile","companyPhone","What is the company's phone number?","ff"
"companyProfile","priorNames","List any names the company has operated under in the past five years.","r"

"governanceLeadership","contactEmail","What is your email address?","AASFD"
"governanceLeadership","directorsAndOfficers","Who are the current directors and officers?","asdf"
"governanceLeadership","ultimateBeneficialOwners","Who are the ultimate beneficial owners?","asdf"
"governanceLeadership","authorizedSigners","List the names of the company's authorized signers.","asdf"
"governanceLeadership","governmentOwnership","Is the company owned or controlled by a government entity?","asdf"
"governanceLeadership","externalAudit","Has the company had a non-financial external audit in the last 18 months?","asdf"
"governanceLeadership","controlEnvironment","Does the company operate under a single control environment for all services?","asdf"
"governanceLeadership","corporateRegistration","Can you provide corporate registration details?","asdf"
"governanceLeadership","goodStanding","Is the company currently in good standing with regulatory authorities?","asdf"
"governanceLeadership","licenses","List any licenses or permits the company currently holds.","asdf"

"financialProfile","annualRecurringRevenue","What is the company's most recent Annual Recurring Revenue (ARR)?","pppp"
"financialProfile","monthlyRecurringRevenue","What is the company's most recent Monthly Recurring Revenue (MRR)?","asdf"
"financialProfile","marketCapitalization","What is the company's current market cap?","asdf"
"financialProfile","lifetimeCustomerValue","What is the company's average Lifetime Customer Value (LCV)?","asdf"

"operationsCompliance","financialStatements","Can you provide recent financial statements?","ffff"
"operationsCompliance","operationalPolicies","List the company's key operational policies.","asdf"
"operationsCompliance","dataVolume","Estimate the volume of data the company currently manages.","asdf"
"operationsCompliance","dataTypes","Which types of data does the company need access to?","asdf"
"operationsCompliance","sanctionsCheck","Has the company completed sanctions screening?","asdf"
"operationsCompliance","dueDiligence","What due diligence processes has the company completed?","asdf"
"operationsCompliance","investigationsIncidents","Has the company or any of its affiliates faced legal or regulatory investigations in the last five years?","asdf"
"operationsCompliance","regulatoryActions","Has the company been issued regulatory orders or been specifically cited for high-risk findings?","asdf"
