Field,Label,Question,Response
legalEntityName,"Legal Entity Name","What is the registered business name?","asdfasdf"
registrationNumber,"Registration Number","What is your company's entity registration number (e.g., EIN or State Entity ID)?","bcdefghijk"
incorporationDate,"Incorporation Date","When was the company incorporated?","ab"
businessType,"Business Type","What type of business entity is this?","ff"
jurisdiction,"Jurisdiction","In which jurisdiction is the company registered?","asd"
registeredAddress,"Registered Address","What is the registered business address?","dd"
companyPhone,"Company Phone Number","What is the company's phone number?","ff"
contactEmail,"Representative Email","What is your email address?","AASFD"
directorsAndOfficers,"Directors and Officers","Who are the current directors and officers?","asdf"
ultimateBeneficialOwners,"Ultimate Beneficial Owners","Who are the ultimate beneficial owners?","asdf"
authorizedSigners,"Authorized Signers","List the names of the company's authorized signers.","asdf"
governmentOwnership,"Government Ownership","Is the company owned or controlled by a government entity?","asdf"
priorNames,"Previous Name","List any names the company has operated under in the past five years.","r"
externalAudit,"External Audit","Has the company had a non-financial external audit in the last 18 months?","asdf"
controlEnvironment,"Control Environment","Does the company operate under a single control environment for all services?","asdf"
corporateRegistration,"Corporate Registration","Can you provide corporate registration details?","asdf"
goodStanding,"Good Standing","Is the company currently in good standing with regulatory authorities?","asdf"
licenses,"Licenses","List any licenses or permits the company currently holds.","asdf"
annualRecurringRevenue,"Annual Recurring Revenue","What is the company's most recent Annual Recurring Revenue (ARR)?","asdf"
monthlyRecurringRevenue,"Monthly Recurring Revenue","What is the company's most recent Monthly Recurring Revenue (MRR)?","asdf"
marketCapitalization,"Market Capitalization","What is the company's current market cap?","asdf"
lifetimeCustomerValue,"Lifetime Customer Value","What is the company's average Lifetime Customer Value (LCV)?","asdf"
financialStatements,"Financial Statements","Can you provide recent financial statements?","ffff"
operationalPolicies,"Operational Policies","List the company's key operational policies.","asdf"
dataVolume,"Data Volume","Estimate the volume of data the company currently manages.","asdf"
dataTypes,"Data Types","Which types of data does the company need access to?","asdf"
sanctionsCheck,"Sanctions Check","Has the company completed sanctions screening?","asdf"
dueDiligence,"Due Diligence","What due diligence processes has the company completed?","asdf"
investigationsIncidents,"Legal Investigations","Has the company or any of its affiliates faced legal or regulatory investigations in the last five years?","asdf"
regulatoryActions,"Regulatory Orders","Has the company been issued regulatory orders or been specifically cited for high-risk findings?","asdf"
