KYB Form Export (Generated: 2025-04-16T09:59:17.934Z)
Total Questions: 30
Question#,Section,Field ID,Question,Response
1,"companyProfile","legalEntityName","What is the registered business name?","asdfasdf"
2,"companyProfile","registrationNumber","What is your company's entity registration number (e.g., EIN or State Entity ID)?","bcdefghijk"
3,"companyProfile","incorporationDate","When was the company incorporated?","ab"
4,"companyProfile","businessType","What type of business entity is this?","ff"
5,"companyProfile","jurisdiction","In which jurisdiction is the company registered?","asd"
6,"companyProfile","registeredAddress","What is the registered business address?","dd"
7,"companyProfile","companyPhone","What is the company's phone number?","ff"
8,"companyProfile","priorNames","List any names the company has operated under in the past five years.","r"
9,"governanceLeadership","contactEmail","What is your email address?","AASFD"
10,"governanceLeadership","directorsAndOfficers","Who are the current directors and officers?","asdf"
11,"governanceLeadership","ultimateBeneficialOwners","Who are the ultimate beneficial owners?","asdf"
12,"governanceLeadership","authorizedSigners","List the names of the company's authorized signers.","asdf"
13,"governanceLeadership","governmentOwnership","Is the company owned or controlled by a government entity?","asdf"
14,"governanceLeadership","externalAudit","Has the company had a non-financial external audit in the last 18 months?","asdf"
15,"governanceLeadership","controlEnvironment","Does the company operate under a single control environment for all services?","asdf"
16,"governanceLeadership","corporateRegistration","Can you provide corporate registration details?","asdf"
17,"governanceLeadership","goodStanding","Is the company currently in good standing with regulatory authorities?","asdf"
18,"governanceLeadership","licenses","List any licenses or permits the company currently holds.","asdf"
19,"financialProfile","annualRecurringRevenue","What is the company's most recent Annual Recurring Revenue (ARR)?","pppp"
20,"financialProfile","monthlyRecurringRevenue","What is the company's most recent Monthly Recurring Revenue (MRR)?","asdf"
21,"financialProfile","marketCapitalization","What is the company's current market cap?","asdf"
22,"financialProfile","lifetimeCustomerValue","What is the company's average Lifetime Customer Value (LCV)?","asdf"
23,"operationsCompliance","financialStatements","Can you provide recent financial statements?","ffff"
24,"operationsCompliance","operationalPolicies","List the company's key operational policies.","asdf"
25,"operationsCompliance","dataVolume","Estimate the volume of data the company currently manages.","asdf"
26,"operationsCompliance","dataTypes","Which types of data does the company need access to?","asdf"
27,"operationsCompliance","sanctionsCheck","Has the company completed sanctions screening?","asdf"
28,"operationsCompliance","dueDiligence","What due diligence processes has the company completed?","asdf"
29,"operationsCompliance","investigationsIncidents","Has the company or any of its affiliates faced legal or regulatory investigations in the last five years?","asdf"
30,"operationsCompliance","regulatoryActions","Has the company been issued regulatory orders or been specifically cited for high-risk findings?","asdf"
